episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
283,13,8,"""Two Suns""Transcription: ""Futatsu no Taiyō!!"" (Japanese: 二つの太陽!!)",Jun Nakagawa,Masahiro Hikokubo,11/10/2012,28/02/2015,8.1,337,Fourth Raikage Ay attacks Naruto in an attempt to prevent the Jinchuriki from falling into Madara's hands. Ay is unwilling to listen to either Tsunade or Killer Bee's pleas to change his mind.,Manga Canon,,283,"
                            6.7
                        "
284,13,9,"""The Helmet Splitter: Jinin Akebino!""Transcription: ""Kabutowari! Akebino Jinin"" (Japanese: 兜割! 通草野餌人)",Kanryou Kishikawa,Junki Takegami,18/10/2012,07/03/2015,7.3,232,"During the night, Kakashi tells his squad to take a rest but maintain their awareness. Two shinobi arrive from HQ bringing an enormous item to Kakashi and then he hands it over to Sai, with Lee assigned to be his bodyguard, to aid in sealing the reanimated ninja. Sai becomes stressful as he recalls a seal variation of his Super Beast Scroll ability that requires emotional energy that can be harmful if not in a controlled state of mind. At dawn, the reanimated ninja sprawl out and resume killing Allied ninja on the field. Among the enemies is Akebino Jinin who is being...",Filler,,284,"
                            8.1
                        "
285,13,10,"""User of the Scorch Style: Pakura of the Sand!""Transcription: ""Shakuton Tsukai! Sunagakure no Pakura"" (Japanese: 灼遁使い! 砂隠れのパクラ)",Masaaki Kumagai,Katsuhiko Chiba,25/10/2012,14/03/2015,6.7,223,"In a flashback, the Hidden Sand Village celebrates Pakura for her victory against the Hidden Stone village. Maki, Pakura's student, wants to train with her despite being tired from the previous skirmish and Pakura praises Maki for her fighting prowess. After their sparring match, Pakura advises Maki to be strong so she can protect her loved ones and the village. Meanwhile, in a meeting of Hidden Sand officials they stress about a truce with the Hidden Mist village despite it is against in their favor and suggest Pakura to solve the issue. However, as Maki was told, ...",Filler,,285,"
                            8
                        "
286,13,11,"""Things You Can't Get Back""Transcription: ""Torimodosenai mono"" (Japanese: 取り戻せないもの)",Mitsutaka Noshitani,Junki Takegami,01/11/2012,21/03/2015,6.5,214,Tsunade takes the third Raikage one-on-one at Skandenberg.,Filler,,286,"
                            8.1
                        "
287,13,12,"""One Worth Betting On""Transcription: ""Kakeru ni Ataisuru mono"" (Japanese: 賭けるに値する者)",Sumito Sasaki,Junki Takegami,01/11/2012,28/03/2015,6.3,215,"As she listens on to the events of A and his followers ambushed by a ninja group known as the Nokizaru, Tsunade realizes the nature of the insect as a bomb with another inside A. After explaining this and having A make a promise to her, Tsunade catches and destroys a bug which had been hovering near A for some time - unbeknownst to them that the Nokizaru had been using it as a method to spy on them. Preparing to operate, Tsunade has Shizune lead the surgery while she oversaw it. Though A initially protested, believing that Tsunade should perform the surgery, the ...",Filler,,287,"
                            8.1
                        "
288,13,13,"""Danger: Jinpachi and Kushimaru!""Transcription: ""Kyōi, Jinpachi - Kushimaru Konbi!!"" (Japanese: 脅威、甚八・串丸コンビ!!)",Kiyomu Fukuda,Masahiro Hikokubo,08/11/2012,04/04/2015,6.6,228,Kakashi races to the scene where the Seven Ninja Swordsmen Kushimaru Kuriarare and Jinpachi Munashi were last sighted.,Filler,,288,"
                            8.3
                        "
289,13,14,"""The Lightning Blade: Ameyuri Ringo!""Transcription: ""Raitō!! Ringo Ameyuri"" (Japanese: 雷刀!! 林檎雨由利)",Yoshihide Ibata,Shin Yoshida,15/11/2012,11/04/2015,6.7,227,"As Guy and Kakashi prepare to regroup their forces, they receive word that one of the units were engaged in battle with Ameyuri Ringo and decide to head to that location. Elsewhere, Ameyuri merciless attacks the members of Yurui's unit. With Yurui dead and only a handful of members left, the new leader of the team Nurui decides that they should escape as they were no match for one of the Seven Ninja Swordsmen of the Mist. As they flee, Omoi who believes that they should stand and fight, gets into an argument with Nurui and Kayui tries to quell the argument, but, Omoi ...",Filler,,289,"
                            8.2
                        "
290,13,15,"""Power - Episode 1"" (Japanese: 「力-Chikara-」episode1)",Toshiyuki Tsuru,Toshiyuki Tsuru,22/11/2012,18/04/2015,6.6,241,"Taking place in the aftermath of the Kage Summit, Team Kakashi is sent out on a mission by Tsunade to a location known as ""The Hole"" to investigate an incident where its people were killed. Regretting that she could not assign more people to the mission because of recent incidents elsewhere, the team sets out nonetheless. While there, they split up into two teams, with Yamato and Sai encountering officers from the neighboring Hachou Village where Shiseru and her team, after learning they are from Konoha shinobi, escort them to their village leader Disonasu. Elsewhere,...",Filler,,290,"
                            8.7
                        "
291,13,16,"""Power - Episode 2"" (Japanese: 「力-Chikara-」episode2)",Masaaki KumagaiChikara SakuraiToshiyuki Tsuru,Toshiyuki Tsuru,29/11/2012,25/04/2015,6.4,229,"While investigating the village near Tonika, Kabuto confronts Naruto. An epic battle erupts as Kabuto uses the forbidden Reanimation Jutsu against Naruto. In the meantime, Dokku and the five survivors lie low at the village where Mina learns a particular melody that she keeps playing on the xylophone. Naruto manages to get to know Dokku and the children despite an initial misunderstanding. As they talk, he learns about the legend surrounding the Hole and the Mystic Power.",Filler,,291,"
                            6.2
                        "
292,13,17,"""Power - Episode 3"" (Japanese: 「力-Chikara-」episode3)",Yuu Yamashita,Toshiyuki Tsuru,06/12/2012,02/05/2015,6.8,237,"Naruto and Sakura decide to stay at Shiseru's house overnight to help watch over the survivors. Although the children cry and miss their deceased parents, Dokku and Shiseru try hard to bring everyone together as a new family. Suddenly Naruto falls gravely ill, and Mina demands that he leave at once.",Filler,,292,"
                            6
                        "
293,13,18,"""Power - Episode 4"" (Japanese: 「力-Chikara-」episode4)",Toshiyuki Tsuru,Toshiyuki Tsuru,13/12/2012,09/05/2015,6.4,231,"A clone possessing the Nine Tails' chakra emerges from Naruto's body. Seeking more power, the clone goes on a rampage, destroying everything in its path. Will the Leaf ninja be able to stop this powerful clone?!",Filler,,293,"
                            8
                        "
294,13,19,"""Power - Episode 5"" (Japanese: 「力-Chikara-」episode5)",Kazunori Mizuno,Toshiyuki Tsuru,20/12/2012,16/05/2015,6.6,234,"The Saezuri is revealed and activated. Exposing Kabuto is exposed as the true enemy, and summons the Nine-Tailed Naruto Clone, Hidan, and Deidara. Naruto and his team mates become engaged in a fierce battle.",Filler,,294,"
                            8.2
                        "
295,13,20,"""Power - Final Episode"" (Japanese: 「力-Chikara-」episode Final)",Toshiyuki Tsuru,Toshiyuki Tsuru,10/01/2013,23/05/2015,7.1,257,"The Nine-Tailed Naruto Clone mutates into a hydra-tail nearly completely taking over Naruto's consciousness. Meanwhile, Dokku and Shiseru decide to sacrifice themselves to deactivate the Ama no Hoko.",Filler,,295,"
                            7.9
                        "
296,14,1,"""Naruto Enters the Battle!""Transcription: ""Naruto, Sansen!!"" (Japanese: ナルト、参戦!!)",Jun Nakagawa,Yasuyuki Suzuki,17/01/2013,30/05/2015,7.7,356,Naruto enters the battle to defeat the white zetsu's impostors. Naruto uses a range of new techniques.,Manga Canon,,296,"
                            8.3
                        "
297,14,2,"""A Father's Hope, A Mother's Love""Transcription: ""Chichi no Omoi, Haha no Ai"" (Japanese: 父の想い、母の愛)",Mitsutaka Noshitani,Shin Yoshida,24/01/2013,06/06/2015,8.3,409,Gaara engages the four Kage including his father. Gaara updates his father on his life. Gaara's father is in shock and chooses to test Gaara's strength.,Manga Canon,,297,"
                            8.2
                        "
298,14,3,"""Contact! Naruto vs. Itachi""Transcription: ""Tsuini Sesshoku!! Naruto VS Itachi"" (Japanese: ついに接触!! ナルトVSイタチ)",Sumito Sasaki,Yasuyuki Suzuki,31/01/2013,13/06/2015,8.8,674,Nagato and Itachi meet Naruto and Killer Bee while under Kabuto's control. They are forced into battle and Itachi is able to free himself from the control of Kabuto.,Manga Canon,,298,"
                            8.7
                        "
299,14,4,"""The Acknowledged One""Transcription: ""Mitomerareshi Mono"" (Japanese: 認められし者)",Hidetoshi Takahashi,Yasuyuki Suzuki,07/02/2013,20/06/2015,8.5,485,Naruto is on the verge of losing his soul to Nagato. Killer Bee and Itachi come to his rescue.,Manga Canon,,299,"
                            8.3
                        "
300,14,5,"""The Mizukage, the Giant Clam, and the Mirage""Transcription: ""Mizukage to Ōhamaguri to Shinkirō"" (Japanese: 水影と蜃（おおはまぐり）と蜃気楼)",Shigeki Kawai,Katsuhiko Chiba,14/02/2013,27/06/2015,8,338,"The Second Mizukage and the Third Raikage unleash havoc on the Shinobi forces. The Second Mizukage summons a giant clam that creates a mirage. Gaara faces of against Mu and the shinobi platoon fight the Second Mizukage. Naruto attacks Mu with his Planetary Rasengan. Meanwhile, the Second Mizukage argues with the platoon that they should not attack what they see him and the clam. Gaara arrives and manages to sense the location of the giant clam and Onoki delivers a powerful Earth style punch despite running low on chakra. However Onoki gets exhausted and the Second ...",Manga Canon,,300,"
                            9.3
                        "
301,14,6,"""Paradox""Transcription: ""Mujun"" (Japanese: 矛盾)",Hisashi Ishii,Masahiro Hikokubo,21/02/2013,04/07/2015,8.2,360,A viscous battle against the third Raikage begins. Can the Shinobi Forces seal one of the strongest shinobis of all time.,Manga Canon,,301,"
                            9.2
                        "
302,14,7,"""Terror: The Steam Imp""Transcription: ""Kyōfu – Jōki Bōi"" (Japanese: 恐怖・蒸危暴威（ジョウキボーイ）)",Kanryou Kishikawa,Junki Takegami,28/02/2013,11/07/2015,7.7,304,"The battle against the Second Mizukage rages on. Elsewhere, everything has come to a standstill in the face of many White Zetsu clones infiltrating shinobi ranks, especially at the Logistical Support and Medical Divisions.",Manga Canon,,302,"
                            8.2
                        "
303,14,8,"""Ghosts from the Past""Transcription: ""Kako no Bōrei"" (Japanese: 過去の亡霊)",Kazunori Mizuno,Masahiro Hikokubo,07/03/2013,18/07/2015,6.7,232,"Otogakure's Sound Four is reincarnated on the battlefield. The now grown up members of the Sasuke Retrieval Team dominate their opponents. However, a seal activates around the defeated shinobi and Kiba, Akamaru, Neji, Shikamaru, and Choji.",Filler,,303,"
                            6.3
                        "
304,14,9,"""The Underworld Transfer Jutsu""Transcription: ""Yomi Tenshin no Jutsu"" (Japanese: 黄泉転身（よみてんしん）の術)",Yoshihide Ibata,Masahiro Hikokubo,14/03/2013,25/07/2015,6.4,229,"Neji, Shikamaru, Choji, Kiba, and Akamaru arrive in another location surrounded by the sound four. Whom seem a lot stronger than before.",Filler,,304,"
                            9.1
                        "
305,14,10,"""The Vengeful""Transcription: ""Fukushūsha"" (Japanese: 復讐者)",Jun Nakagawa,Masahiro Hikokubo,21/03/2013,08/08/2015,6.6,223,Time is running out for the Leaf shinobi whose souls are trapped inside the Sound Four's barrier. Ino and Shino exhaust their own chakra to keep their friends alive.,Filler,,305,"
                            9
                        "
306,14,11,"""The Heart's Eye""Transcription: ""Kokoro no Me"" (Japanese: 心の目)",Shigeki Kawai,Shin Yoshida,28/03/2013,15/08/2015,6.2,225,"Hinata remembers the time that Neji protected her when they were younger, when Neji was left in charge of Hinata's training.",Filler,,306,"
                            8.2
                        "
307,14,12,"""Fade into the Moonlight""Transcription: ""Gekkō ni Kiyu"" (Japanese: 月光に消ゆ)",Sumito Sasaki,Yuka Miyata,04/04/2013,22/08/2015,6.4,234,"Summoning a confused Hayate Gekko, who died at the time of the Chunnin exams, Kabuto pairs him up with a cloud and sound ninja and sends them into battle.",Filler,,307,"
                            8.4
                        "
308,14,13,"""Crescent Moonlight""Transcription: ""Mikazuki no Yoru"" (Japanese: 三日月の夜)",Hidetoshi Takahashi,Yuka Miyata,11/04/2013,29/08/2015,6.4,222,Hayate fights against Yugao in a battle of swords.,Filler,,308,"
                            9.1
                        "
309,14,14,"""The A-Rank Mission: Food Fight""Transcription: ""Ē-Ranku Ninmu: Gozen Jiai"" (Japanese: A級任務・御膳試合)",Mitsutaka Noshitani,Katsuhiko Chiba,18/04/2013,05/09/2015,5.5,213,"Naruto arrives to help a team of Allied Shinobi Forces led by Karui, who are struggling against a reanimated samurai, whom Naruto recognizes as a man named Tatewaki he met on a previous mission. A flashback entails.",Filler,,309,"
                            9.5
                        "
310,14,15,"""The Fallen Castle""Transcription: ""Rakujō"" (Japanese: 落城)",Masaaki Kumagai,Katsuhiko Chiba,25/04/2013,12/09/2015,5.7,210,Naruto's flashback of Tatewaki continues.,Filler,,310,"
                            9.1
                        "
311,14,16,"""Prologue of Road to Ninja"" (Japanese: PROLOGUE OF ROAD TO NINJA)",Kazunori Mizuno,Yuka Miyata,02/05/2013,19/09/2015,7.5,287,"This episode is a Prologue to the Naruto Shippuden movie 'Road to Ninja'. It begins with Tobi speaking with Zetsu about testing out a limited, trial-version of the ""Infinite Tsukuyomi"".",Filler,,311,"
                            9
                        "
312,14,17,"""The Old Master and the Dragon's Eye""Transcription: ""Rōjin to Ryū no Me"" (Japanese: 老人と龍の目)",Naoki Horiuchi,Hideto Tanaka,09/05/2013,26/09/2015,5.6,218,"Still searching thoroughly for any remaining factions of the enemy, the Third Division came across another reincarnated shinobi: Master Chen - a renown hero of Konohagakure who was thought to have died during the Third Shinobi World War.",Filler,,312,"
                            9.6
                        "
313,14,18,"""Rain Followed by Snow, with Some Lightning""Transcription: ""Ame Nochi Yuki, Tokidoki Kaminari"" (Japanese: 雨のち雪, ときどき雷)",Kanryou Kishikawa,Yasuyuki Suzuki,16/05/2013,03/10/2015,5,240,A young boy called Yota appears in three different places in front of the people he once knew. Yota is gifted in regards to weather abilities.,Filler,,313,"
                            9
                        "
314,14,19,"""The Sad Sun Shower""Transcription: ""Kanashī Tenkiame"" (Japanese: 悲しい天気雨)",Fumiaki Usui,Yasuyuki Suzuki,23/05/2013,10/10/2015,5.2,222,Another Yota appears in front of Naruto who suspects the one in front of him is the only real Yota.,Filler,,314,"
                            9.2
                        "
315,14,20,"""Lingering Snow""Transcription: ""Nagoriyuki"" (Japanese: 名残雪)",Hisashi Ishii,Yasuyuki Suzuki,30/05/2013,17/10/2015,5.8,216,The flashbacks of Yota continue until the leaf ninja finally put an end to the story of Yota.,Filler,,315,"
                            8.3
                        "
316,14,21,"""The Reanimated Allied Forces""Transcription: ""Edo Tensei Rengōgun!!"" (Japanese: 穢土転生連合軍!!)",Sumito Sasaki,Katsuhiko Chiba,06/06/2013,24/10/2015,6.2,223,Kabuto summons his group of 'failed attempts' to recover his power ninja who have been sealed.,Filler,,316,"
                            9.2
                        "
317,14,22,"""Shino vs. Torune!"" (Japanese: シノVSトルネ!!)",Shigeki Kawai,Katsuhiko Chiba,13/06/2013,31/10/2015,6.6,224,Shino verses a gifted reincarnated relative from the foundation.,Filler,,317,"
                            6.5
                        "
318,14,23,"""A Hole in the Heart: The Other Jinchuriki""Transcription: ""Kokoro no Ana - Mō Hitori no Jinchūriki"" (Japanese: 心の穴 もう一人の人柱力)",Hiroaki Nishimura,Shin Yoshida,20/06/2013,07/11/2015,6.2,217,"Fukai, the previous host of the eight tails, appears to fight Bee.Killer Bee is overconfident until Fukai reveals that he still has the eight tails chakra.",Filler,,318,"
                            6.3
                        "
319,14,24,"""The Soul Living Inside the Puppet""Transcription: ""Kugutsu ni Yadoru Tamashī"" (Japanese: 傀儡に宿る魂)",Kazunori Mizuno,Masahiro Hikokubo,27/06/2013,14/11/2015,6.7,229,The Fifth Division led by Mifune is confronted by the reanimated Kimimaro. While Kankuro fights against lady Chiyo.,Filler,,319,"
                            6.8
                        "
320,14,25,"""Run, Omoi!""Transcription: ""Hashire Omoi"" (Japanese: 走れオモイ)",Kazuma Satou,Yasuyuki Suzuki,04/07/2013,21/11/2015,6.3,234,Thousands of White Zetsu overrun a group of ninja. Seven child ninja from the cloud head towards the battle as reinforcements. When Omoi hears this he runs of to find the children.,Filler,,320,"
                            8.1
                        "
321,15,1,"""Reinforcements Arrive""Transcription: ""Zōen tōchaku"" (Japanese: 増援到着)",Naoki Horiuchi,Katsuhiko Chiba,18/07/2013,28/11/2015,8,357,Naruto's Kage Bunshin finally arrives at every battlefield to help identify the White Zetsus. An unexpected and shocking surprise is revealed.,Manga Canon,,321,"
                            8.1
                        "
322,15,2,"""Madara Uchiha""Transcription: ""Uchiha Madara"" (Japanese: うちはマダラ)",Hiroyuki Yamashita,Shin Yoshida,25/07/2013,05/12/2015,9.5,2260,"Madara is revived through Edo Tensei, Kazekage Gaara and Tsuchikage Ônoki are forced to fight him.",Manga Canon,,322,"
                            8.1
                        "
323,15,3,"""The Five Kage Assemble""Transcription: ""Gokage Shūketsu...!!"" (Japanese: 五影集結...!!)",Yoshihiro Sugai,Yuka Miyata,01/08/2013,12/12/2015,8.8,609,"Hokage Tsunade, Raikage A and Mizukage Mei joins Kazekage Gaara and Tsuchikage Ônoki in the battlefield to fight against Edo Tensei Madara.",Manga Canon,,323,"
                            8.3
                        "
324,15,4,"""The Unbreakable Mask and the Shattered Bubble""Transcription: ""Warenai Kamen — Wareta Shabondama"" (Japanese: 割れない仮面・割れたシャボン玉)",Masaaki Kumagai,Junki Takegami,08/08/2013,18/12/2015,7.7,340,"Naruto and Killer B meet Tobi and the six former Jinchûriki revived through Edo Tensei. The story of how Akatsuki captured the Rokubi Jinchûriki, Utakata, is shown (filler).",Mixed Canon/Filler,,324,"
                            8.2
                        "
325,15,5,"""Jinchūriki vs. Jinchūriki!!"" (Japanese: 人柱力VS人柱力!!)",Hisashi Ishii,Yasuyuki Suzuki,15/08/2013,24/12/2015,8.1,344,Naruto and Killer B fights against Tobi and the six Jinchûriki that now holds the power of the six Pain.,Manga Canon,,325,"
                            9.2
                        "
326,15,6,"""Four Tails, the King of Sage Monkeys""Transcription: ""Yonbi — Sen'en no Ō"" (Japanese: 四尾・仙猿（せんえん）の王)",Naomi Nakayama,Katsuhiko Chiba,22/08/2013,31/12/2015,8.2,351,"Naruto, Killer B and the Hachibi receives aid from Kakashi and Gai to fight the Jinchûriki in biju mode. Meanwhile, Sasuke decides to go outside and test his new eyes.",Manga Canon,,326,"
                            6.9
                        "
327,15,7,"""Nine Tails""Transcription: ""Kyūbi"" (Japanese: 九尾)",Hiroaki Nishimura,Yuka Miyata,29/08/2013,07/01/2016,7.2,344,Kurama the Kyûbi recalls his struggle to release himself from the seal through Naruto's life.,Mixed Canon/Filler,,327,"
                            6.5
                        "
328,15,8,"""Kurama"" (Japanese: 九喇嘛)",Shigeki Kawai,Yuka Miyata,29/08/2013,14/01/2016,7.8,390,"For years, Naruto was the target of Nine-Tails' undying hatred. But their time together has made Nine Tails understand Naruto more than anyone.",Mixed Canon/Filler,,328,"
                            6.6
                        "
329,15,9,"""Two-Man Team""Transcription: ""Tsū Man Seru"" (Japanese: ツーマンセル)",Kazunori Mizuno,Shin Yoshida,05/09/2013,21/01/2016,9,856,"Naruto uses up the last of his chakra trying to free the Tailed Beasts from Madara's control. When all seems lost, the Nine Tails finally acknowledges Naruto as its jinchuriki and offers its help.",Manga Canon,,329,"
                            6.9
                        "
330,15,10,"""The Promise of Victory""Transcription: ""Shōri e no Yogen"" (Japanese: 勝利への予言)",Chikao Tominaga,Masahiro Hikokubo,12/09/2013,28/01/2016,7.7,322,"The tide of battle is shifting in the Allied Forces' favor, but many are uncertain that they stand a chance against Madara Uchiha. To help boost their spirits, Shikaku orders Inoichi to send out a message to every member of the forces.",Mixed Canon/Filler,,330,"
                            6.7
                        "
331,15,11,"""Eyes That See in the Dark""Transcription: ""Yami o Miru Me"" (Japanese: 闇を見る眼)",Naoki Horiuchi,Katsuhiko Chiba,19/09/2013,04/02/2016,6.9,309,Suigetsu finds something interesting and alongside Jûgo they go look for Sasuke. Sasuke is able to test once again his new Mangekyo Sharingan against White Zetsus and learns about the war.,Mixed Canon/Filler,,331,"
                            6.7
                        "
332,15,12,"""A Will of Stone""Transcription: ""Ishi no Ishi"" (Japanese: 石の意志)",Masaaki Kumagai,Yasuyuki Suzuki,26/09/2013,11/02/2016,8.1,343,Tsuchikage Ônoki remembers how he inherited the Will of Stone and gather strength to fight Madara. Sasuke encounters his late brother Itachi (revived through Edo Tensei) and pursue him looking for answers. Madara reveals something that enrages Tsunade.,Manga Canon,,332,"
                            6.7
                        "
333,15,13,"""The Risks of the Reanimation Jutsu""Transcription: ""Edo Tensei no Risuku"" (Japanese: 穢土転生のリスク)",Shigeru Ishii,Shin Yoshida,03/10/2013,18/02/2016,8.3,369,"Tsunade leaves her post as Medic Ninja to join the other Kage in fighting Madara. Meanwhile, Sasuke goes after Itachi and learns that his brother intends on stopping Kabuto's Reanimation Jutsu alone.",Manga Canon,,333,"
                            6.6
                        "
334,15,14,"""Sibling Tag Team""Transcription: ""Kyōdai, Taggu!!"" (Japanese: 兄弟、共闘（タッグ）!!)",Kazunori Mizuno,Katsuhiko Chiba,10/10/2013,25/02/2016,8.2,364,Sasuke and Itachi team up to stop Kabuto's Reanimation Jutsu. But Kabuto's new ability to use Nature Energy has made him a difficult target for the brothers to land their Susano'o attack.,Manga Canon,,334,"
                            6.8
                        "
335,15,15,"""To Each Their Own Leaf""Transcription: ""Tagai no Konoha"" (Japanese: 互いの木ノ葉)",Mitsutaka Noshitani,Yasuyuki Suzuki,24/10/2013,04/03/2016,7.7,327,Sasuke and Itachi fight Kabuto. Kabuto rememorates his early childhood.,Manga Canon,,335,"
                            6.8
                        "
336,15,16,"""Kabuto Yakushi""Transcription: ""Yakushi Kabuto"" (Japanese: 薬師カブト)",Shigeki Kawai,Masahiro Hikokubo,31/10/2013,11/03/2016,7.7,327,Yakushi Kabuto rememorates how he has become who he is now through the different events in his life.,Manga Canon,,336,"
                            5.7
                        "
337,15,17,"""The Izanami Activated""Transcription: ""Hatsudō: Izanami"" (Japanese: 発動・イザナミ)",Hiroaki Nishimura,Masahiro Hikokubo,07/11/2013,18/03/2016,8.2,371,Sasuke and Itachi continue their fight against Kabuto. Itachi uses the Izanami.,Manga Canon,,337,"
                            8.3
                        "
338,15,18,"""Izanagi and Izanami""Transcription: ""Izanagi to Izanami"" (Japanese: イザナギとイザナミ)",Kazunori Mizuno,Masahiro Hikokubo,14/11/2013,25/03/2016,8.2,378,Itachi explains to Sasuke how the Izanami works and how it is related to the Izanagi.,Mixed Canon/Filler,,338,"
                            8.1
                        "
339,15,19,"""I Will Love You Always""Transcription: ""Omae o Zutto Aishiteiru"" (Japanese: お前をずっと愛している)",Atsushi Nigorikawa,Yuka Miyata,21/11/2013,02/05/2021,9.4,1644,"The five Kage continue their fight against Madara Uchiha as he uses his final Susanoo and attacks them with full power. Meanwhile, Itachi says his final words to Sasuke.",Manga Canon,,339,"
                            7.8
                        "
340,15,20,"""Reanimation Jutsu: Release!""Transcription: ""Edo Tensei: Kai"" (Japanese: 穢土転生・解)",Eiko Nishi,Katsuhiko Chiba,28/11/2013,09/05/2021,8.3,375,"Thanks to Itachi, the Reanimation Jutsu is released, and all the Reanimated Shinobi are returned to their resting places. But to everyone's surprise, the real Madara still remains.",Manga Canon,,340,"
                            7.9
                        "
341,15,21,"""Orochimaru's Return""Transcription: ""Fukkatsu!! Orochimaru"" (Japanese: 復活!! 大蛇丸)",Naoki Horiuchi,Yasuyuki Suzuki,05/12/2013,16/05/2021,8,345,"Suigetsu and Jugo finally catch up to Sasuke. In order to learn the truth behind the Leaf's actions, Sasuke decides to resurrect the one man who can help him find the answer-Orochimaru.",Manga Canon,,341,"
                            7.9
                        "
342,15,22,"""Secret of the Transportation Technique""Transcription: ""Jikūkan Ninjutsu no Himitsu"" (Japanese: 時空間忍術の秘密)",Masaaki Kumagai,Shin Yoshida,12/12/2013,23/05/2021,8.6,462,"Having absorbed the chakras of all nine Tailed Beasts, the Gedo Statue begins its transformation into Ten Tails.",Manga Canon,,342,"
                            7.8
                        "
343,15,23,"""Who Are You?""Transcription: ""Temē wa Dare da!!"" (Japanese: てめーは誰だ!!)",Kazuya Iwata,Masahiro Hikokubo,19/12/2013,30/05/2021,8.9,766,Kakashi is disturbed to discover a strange connection between the masked man's Transportation Technique and his own Kamui Jutsu.,Manga Canon,,343,"
                            7.8
                        "
344,15,24,"""Obito and Madara""Transcription: ""Obito to Madara"" (Japanese: オビトとマダラ)",Kazunori Mizuno,Yasuyuki Suzuki,09/01/2014,06/06/2021,8.7,658,Madara has rescued a dying Obito and tells him about his plans.,Manga Canon,,344,"
                            7.7
                        "
345,15,25,"""I'm in Hell""Transcription: ""Ore wa Jigoku ni Iru"" (Japanese: オレは地獄に居る)",Hiroyuki Yamashita,Katsuhiko Chiba,16/01/2014,13/06/2021,9.4,1610,"Two White Zetsu helps Obito in his rehabilitation, while they explain more about Madara's plan and bring some news regarding Rin and Kakashi.",Manga Canon,,345,"
                            7.5
                        "
346,15,26,"""World of Dreams""Transcription: ""Yume no Sekai"" (Japanese: 夢の世界)",Eiko Nishi,Shin Yoshida,23/01/2014,20/06/2021,8.2,357,"Obito watches in disbelief as Kakashi kills Rin. Unable to accept the harsh reality, Obito decides to carry out Madara's dream so that he can create an ideal world where Rin still exists.",Mixed Canon/Filler,,346,"
                            7.8
                        "
347,15,27,"""Creeping Shadow""Transcription: ""Shinobiyoru Kage"" (Japanese: 忍び寄る影)",Sekito Kanno,Shin Yoshida,23/01/2014,27/06/2021,7.6,295,"Years ago, Yahiko, Nagato, and Konan form the Akatsuki to realize their dream of bringing peace to the Hidden Rain.",Filler,,347,"
                            7.8
                        "
348,15,28,"""The New Akatsuki""Transcription: ""Shinsei: Akatsuki"" (Japanese: 新生・“暁”)",Atsushi Nigorikawa,Shin Yoshida,30/01/2014,04/07/2021,8,313,"Danzo deliberately misleads Hanzo, telling him that the Akatsuki are attempting to sabotage the peace talks between the Hidden Rain and Stone.",Filler,,348,"
                            8
                        "
349,16,1,"""A Mask That Hides The Heart""Transcription: ""Kokoro o Kakusu Men"" (Japanese: 心を隠す面)",Naoki Horiuchi,Junki Takegami,06/02/2014,11/07/2021,7.8,274,"After the end of the Third Great Ninja War, the Leaf Village is divided over who should become the next Hokage. Minato Namikaze is soon appointed as the Fourth Hokage, much to the annoyance of Danzo and Orochimaru",Filler,,349,"
                            8
                        "
350,16,2,"""Minato's Death""Transcription: ""Minato no Shi"" (Japanese: ミナトの死)",Daisuke Kurose,Junki Takegami,13/02/2014,18/07/2021,7.9,295,"Kakashi becomes part of the ANBU Black Ops, an elite team of shinobi who are under the direct command of the Fourth Hokage, Minato Namikaze.",Filler,,350,"
                            8
                        "
351,16,3,"""Hashirama's Cells""Transcription: ""Hashirama Saibō"" (Japanese: 柱間細胞)",Kazuya Iwata,Junki Takegami,20/02/2014,25/07/2021,7.3,243,"At the Foundation, Kakashi meets a boy who uses Wood Style, a jutsu that only First Hokage Hashirama was capable of using. Kakashi goes to Third Hokage Hiruzen's library to seek answers and discovers records regarding Hashirama's cells.",Filler,,351,"
                            7.8
                        "
352,16,4,"""The Rogue Ninja Orochimaru""Transcription: ""Nukenin: Orochimaru"" (Japanese: 抜け忍・大蛇丸)",Yoshihiko Iwata,Yasuyuki Suzuki,27/02/2014,01/08/2021,7,240,"Orochimaru is forced to flee the Hidden Leaf after Third Hokage Hiruzen exposes his illegal experiments. Danzo, fearing that Orochimaru's capture would lead to the exposure of his own involvement in the experiments, sends out one of his men to help the rogue ninja.",Filler,,352,"
                            7.9
                        "
353,16,5,"""Orochimaru's Test Subject""Transcription: ""Orochimaru no Jikkentai"" (Japanese: 大蛇丸の実験体)",Masaaki Kumagai,Yasuyuki Suzuki,06/03/2014,15/08/2021,6.8,229,"While pursuing Orochimaru, Kakashi wanders into a village inhabited by the Iburi Clan, a group of people with the unique ability to turn into smoke. Kakashi is soon captured and learns that the villagers all serve under Orochimaru.",Filler,,353,"
                            8.2
                        "
